questions,answers
What is whole-life insurance?,"Whole-life insurance is an insurance contract which insures the death of the insured, and the insurance premium may be paid for a specific period of time or for while life. For whole-life insurance, annually fixed insurance premium installment can be equally paid annually during the period that the insured is alive. An insurance company shall pay the benefit to the family of the deceased or any designated beneficiary upon the death of the insured."
What is insurance broker?,"Insurance Broker is legal entity who work in the interests of insured, providing consultation, sharing information related to the types of insurance, terms and conditions, insurance premiums, negotiating and preparing insurance contracts between insurance applicants and insurance companies, and sell insurance policies by receiving lawful commissions from insurance companies."
What is endowment insurance?,"Endowment insurance is a life insurance in which the benefit may be paid to the insured if the insured is still alive during the insured period as specified in a contract. If the insured deceases before the specified date in the contract, the benefit shall be granted to the beneficiary."
What is Annuity insurance?,Annuity insurance is an insurance contract in which an income shall be granted to the insured for retirement age.
How does the concept of subrogation operate in the context of life insurance?,"For life insurance, after having paid indemnity, an insurance company shall not demand subrogation right from the contracting party or the beneficiary to file a lawsuit against any third party."
What is reinsurance?,Reinsurance is an insurance operation where a ceding insurance company is insured by other reinsurance company which is wholly or partially reinsures of the insured risks under an insurance contract.
What is MicroInsurance?,"Microinsurance is a providence of insurance contract to low-income group of population such as property microinsurance, life microinsurance and health microinsurance."
What is insurance Agent?,"Insurance Agent is a natural person or legal entity that, on behalf of insurance companies, provide guidance on insurance policies, prepare insurance contracts, collect insurance premiums, and arrange for indemnity, within a clearly specified framework of an agreement between the insurance agent and the insurance company through which commissions from the insurance company are received."
What is loss adjuster?,"Loss Adjuster is an independent legal entity which has the duty to inspect, verify, and evaluate damages when the insured risks occur, and to issue a document on damage evaluation as the basis for insurance companies to indemnify. Loss Adjustor conducts its activities by receiving inspection fee from insurance companies in accordance with agreements."
"What authority does the Minister of Economy and Finance have regarding the appointment of individuals responsible for monitoring, researching, inspecting, and strengthening the implementation of the Law related to insurance?","The Minister of Economy and Finance has right to appoint insurance inspector to monitor, research, inspect, and strengthen the implementation of Law."
Who has the right to appoint insurance inpsector to manage the implementation of the law?,"The Minister of Economy and Finance has right to appoint insurance inspector to monitor, research, inspect, and strengthen the implementation of this Law."
What specific rights and responsibilities are granted to insurance inspectors?,Insurance inspector has right to inspect insurance companies and perform other duties as assigned by the Ministry of Economy and Finance.
What authority does the insurance inspector has?,"Insurance inspector has right to monitor, inspect, research, and investigate offences in the insurance sector."
What are the powers and duties of the liquidator?,"The powers and duties of the liquidator are as follows:
- Legally represent the insurance company to manage its business exclusively until the end of the liquidation process;
- Prepare the company’s financial reports to accurately reflect the status of the company’s relevant accounts which shall be used as the basis for the liquidation;
- Review the existence of movable and immovable assets in the inventory list and take necessary actions to secure the assets to ensure equal treatment between shareholders and creditors;
- Issue public announcement on the company’s liquidation by setting ultimatum to every creditor to submit claims documents for its debit and if the creditors do not submit by the specified date, they are deemed to waive their right to claim.
- Convene a meeting between shareholders and related parties, in case there is a resolution to take over and continue operating business of the company which is subject to liquidation, in order to make a decision in principle in that regard;
- Issue notification of rejection of any agreement or document that has been deemed to be entered into unconventionally or illegally prior to the commencement of the liquidation procedure;
- Prepare the list of debtors with the remaining debt amounts, including any shareholders of the company, if any, and try to recover the outstanding amounts in every way even before the due date.
- Prepare the list of acknowledged creditors with amounts to be settled, including tax debt owed to the government and wages owed to the employees in accordance with the law in effect;
- Liquidate the company’s assets by selling out or any other method;
- Liquidate the company’s liabilities by paying the debts within the actual capacity by the priority as stipulated in article 86 of this Law;
- Prepare the balance sheet of liquidation, distribute the funds resulting from liquidation to the shareholders of the company and liquidate relevant accounts to close the liquidation."
Under what circumstances does the Ministry of Economy and Finance have the right to appoint a provisional administrator for an insurance company?,"If any insurance company is facing a severe financial crisis, the Ministry of Economy and Finance have right to appoint a provisional administrator for an initial period not exceeding 3 (three) months in an attempt to restore the company.
If necessary, the term of provisional administrator may be extended for another 3 (three) months."
What is the initial and potential extended duration of the provisional administrator's term in the event of a severe financial crisis?,"If any insurance company is facing a severe financial crisis, the Ministry of Economy and Finance have right to appoint a provisional administrator for an initial period not exceeding 3 (three) months in an attempt to restore the company.
If necessary, the term of provisional administrator may be extended for another 3 (three) months."
What is the established priority order for addressing debts?,"The priority to solve debts shall be in the following order:
a) Remuneration and other expenses related to provisional administration and liquidation;
b) Claims of claimants for insurance indemnity;
c) Claims of policyholders;
d) Employees’ wages, administrative fee, litigation costs and other taxes imposed by the court ;
e) Secured claims;
f) Government taxes whose notice is not filed; and
g) All admissible unsecured claims."
How many types of desciplinary sanctions?,"The types of disciplinary sanctions are as follows:
a) Cease issuance of new insurance policy;
b) Cease the approval for new insurance activities or other sale-purchases;
c) Cease any activities of insurance company if the financial conditions is not strong;
d) Restrict the sale of the company’s properties;
e) Transfer either partially or wholly the unexpired insurance policies of the company;
f) Cease functions of the directors and managers;
e) Revoke the license of an insurance company."
How about the other relevant laws to regulate and oversee the insurance sector in Cambodia?,"I'm sorry, but I have only received a fragmented document that appears to be corrupted, making it challenging to extract specific laws or regulations related to the insurance sector in Cambodia."
How does the Insurance Regulator of Cambodia execute the duties outlined in the Law on Insurance and other relevant laws to regulate and oversee the insurance sector in Cambodia?,"The Insurance Regulator of Cambodia (IRC) executes its duties as outlined in the Law on Insurance in Cambodia through several key mechanisms and responsibilities. These include:

Licensing and Supervision: The IRC is responsible for licensing insurance companies and supervising their operations to ensure compliance with the law, regulations, and international standards. This helps maintain a stable and competitive insurance market.

Setting Premiums: The IRC plays a crucial role in setting and regulating insurance premiums to ensure fairness and affordability for consumers. This helps prevent exploitation and promotes transparency in the insurance industry.

Capital Reserves: The IRC mandates that insurance companies maintain adequate capital reserves to safeguard policyholders and mitigate financial risks. This helps ensure the financial stability and solvency of insurance companies.

Consumer Protection: The IRC is committed to protecting the interests of insurance consumers by enforcing regulations that promote fair treatment, transparency, and accountability within the industry. This includes handling consumer complaints and ensuring fair claims handling practices.

Promoting Industry Growth: The IRC's mission is to promote the growth and development of the insurance industry in Cambodia. To achieve this, the regulator may introduce policies that stimulate innovation, competition, and overall market development.

Overall, the IRC's execution of its duties as outlined in the Law on Insurance in Cambodia is geared towards fostering a stable, fair, and robust insurance sector while prioritizing consumer protection and industry development."
What is SERC?,Securities and Exchange Regulator of Cambodia (SERC) is established under the law on The Issuance and Trading of Non-Government Securities (Preah Reach Kram No NS/RKM/ 1007/028). SERC regulates the securities industry in Cambodia to contribute to socio-economic development through capital mobilization from public/ securities investors to meet the demand of financing for investors.
What is the SERC's vision?,Securities and Exchange Regulator of Cambodia (SERC) is established under the law on The Issuance and Trading of Non-Government Securities (Preah Reach Kram No NS/RKM/ 1007/028). SERC regulates the securities industry in Cambodia to contribute to socio-economic development through capital mobilization from public/ securities investors to meet the demand of financing for investors.
What is Securities and Exchange Regulator in Cambodia?,Securities and Exchange Regulator of Cambodia (SERC) is established under the law on The Issuance and Trading of Non-Government Securities (Preah Reach Kram No NS/RKM/ 1007/028). SERC regulates the securities industry in Cambodia to contribute to socio-economic development through capital mobilization from public/ securities investors to meet the demand of financing for investors.
What are the missions of Securities and Exchange Regulator in Cambodia?,"The missions of SERC are to: 
- Develop and maintain the confidence of public investors in the Kingdom of Cambodia by protecting their lawful rights and ensuring that the offer, issue, purchase, and sale of securities are carried out in a fair and orderly manner.
- Promote the effective regulation, efficiency, and orderly development of the securities markets.
- Encourage the varieties of saving tools through buying of securities and other financial instruments.
- Encourage foreign investment and participation in the securities markets in the Kingdom of Cambodia.
- Assist in facilitating the privatization of state-owned enterprises in the Kingdom of Cambodia."
What are the missions of SERC?,"The missions of SERC are to: 
- Develop and maintain the confidence of public investors in the Kingdom of Cambodia by protecting their lawful rights and ensuring that the offer, issue, purchase, and sale of securities are carried out in a fair and orderly manner.
- Promote the effective regulation, efficiency, and orderly development of the securities markets.
- Encourage the varieties of saving tools through buying of securities and other financial instruments.
- Encourage foreign investment and participation in the securities markets in the Kingdom of Cambodia.
- Assist in facilitating the privatization of state-owned enterprises in the Kingdom of Cambodia."
What specific duties and functions does the Securities Regulator of Cambodia perform in accordance with the Law on the Issuance and Trading of Non-Government Securities?,"The Securities Regulator of Cambodia, represented by the Cambodia Securities and Exchange Commission (CSEC), performs specific duties and functions in accordance with the Law on the Issuance and Trading of Non-Government Securities and other related laws to contribute to the development and regulation of the securities sector. Here are the key responsibilities outlined in the provided article:

1. Regulation and Supervision of Securities Markets:
   - The CSEC is tasked with regulating and supervising both government and non-government securities markets in the Kingdom of Cambodia.

2. Policy Enforcement:
   - The commission is responsible for enforcing policies related to the securities market to ensure that the offer, issue, purchase, and sale of securities are carried out in a fair and orderly manner.

3. Formulation of Conditions:
   - CSEC formulates conditions for granting approvals to operators of securities markets, clearance and settlement facilities, and securities depositories.

4. Licensing of Securities Companies:
   - The commission formulates conditions for granting licenses to securities companies and securities company representatives.

5. Promotion of Compliance:
   - CSEC promotes and encourages compliance with the requirements of the law to ensure the integrity and transparency of the securities market.

6. Role in Complaint Resolution:
   - The commission acts as an institution to examine and resolve complaints against licensed legal entities' decisions that affect the benefits of participants or investors.

7. Consultation for Policy Development:
   - CSEC consults with qualified individuals to develop policies aimed at the development of the securities market in the Kingdom of Cambodia.

8. Other Mandated Duties:
   - The commission fulfills other duties as prescribed by sub-decree, indicating a broader scope of responsibilities beyond the explicitly mentioned ones."
"What specific duties and functions does the Securities Regulator of Cambodia perform in accordance with the Law on the Issuance and Trading of Non-Government Securities and other related laws, contributing to the development and regulation of the securities sector?","The Securities Regulator of Cambodia, represented by the Cambodia Securities and Exchange Commission (CSEC), performs specific duties and functions in accordance with the Law on the Issuance and Trading of Non-Government Securities and other related laws to contribute to the development and regulation of the securities sector. Here are the key responsibilities outlined in the provided article:

1. Regulation and Supervision of Securities Markets:
   - The CSEC is tasked with regulating and supervising both government and non-government securities markets in the Kingdom of Cambodia.

2. Policy Enforcement:
   - The commission is responsible for enforcing policies related to the securities market to ensure that the offer, issue, purchase, and sale of securities are carried out in a fair and orderly manner.

3. Formulation of Conditions:
   - CSEC formulates conditions for granting approvals to operators of securities markets, clearance and settlement facilities, and securities depositories.

4. Licensing of Securities Companies:
   - The commission formulates conditions for granting licenses to securities companies and securities company representatives.

5. Promotion of Compliance:
   - CSEC promotes and encourages compliance with the requirements of the law to ensure the integrity and transparency of the securities market.

6. Role in Complaint Resolution:
   - The commission acts as an institution to examine and resolve complaints against licensed legal entities' decisions that affect the benefits of participants or investors.

7. Consultation for Policy Development:
   - CSEC consults with qualified individuals to develop policies aimed at the development of the securities market in the Kingdom of Cambodia.

8. Other Mandated Duties:
   - The commission fulfills other duties as prescribed by sub-decree, indicating a broader scope of responsibilities beyond the explicitly mentioned ones."
Why do we need SERC?,"The Securities and Exchange Regulator of Cambodia (SERC), represented by the Cambodia Securities and Exchange Commission (CSEC), plays a crucial role in the Cambodian financial system. Here are several reasons why SERC is essential and how it can benefit Cambodia:

1. Investor Protection:
   - SERC helps safeguard the rights and interests of investors by ensuring that securities transactions are conducted fairly and transparently. This instills confidence among investors and encourages their participation in the securities market.

2. Market Integrity:
   - By regulating and supervising securities markets, SERC promotes market integrity. This involves preventing fraudulent activities, market manipulation, and other unethical practices, which, in turn, contributes to a trustworthy and reliable securities market.

3. Efficient Regulation:
   - SERC formulates and enforces regulations that govern the securities market. Efficient regulation helps maintain order in the market, prevents systemic risks, and creates an environment conducive to healthy and sustainable growth.

4. Capital Mobilization:
   - One of the primary objectives of SERC is to contribute to socio-economic development by mobilizing capital from the public and securities investors. This capital can be channeled into productive investments, fostering economic growth and development.

5. Encouraging Savings and Investment:
   - SERC aims to encourage a variety of saving tools through the buying of securities and other financial instruments. This not only provides individuals with diverse investment options but also helps channel savings into productive economic activities.

6. Foreign Investment Promotion:
   - By promoting effective regulation and creating a fair and orderly securities market, SERC attracts foreign investment. This, in turn, contributes to economic development, job creation, and the overall growth of the country's financial sector.

7. Facilitating Privatization:
   - SERC assists in facilitating the privatization of commercial enterprises owned and managed by the government. This process can enhance efficiency, introduce private-sector expertise, and stimulate economic activity.

8. Policy Development and Consultation:
   - SERC engages in policy development and consults with qualified individuals to formulate strategies for the development of the securities market. This ensures that regulatory frameworks remain adaptive to changing market dynamics and international best practices.

9. Complaint Resolution:
   - SERC acts as an institution to examine and resolve complaints against licensed legal entities. This mechanism provides a means for participants or investors to address grievances and contributes to the fair and equitable functioning of the securities market.

10. Supervision and Enforcement:
    - The Director General of CSEC, as part of SERC, holds powers to supervise, enforce, and take appropriate actions against entities or individuals in case of any breach of regulations. This proactive approach helps maintain discipline and adherence to the law within the securities market."
Why need Securities and Exchange Regulator of Cambodia?,"The Securities and Exchange Regulator of Cambodia (SERC), represented by the Cambodia Securities and Exchange Commission (CSEC), plays a crucial role in the Cambodian financial system. Here are several reasons why SERC is essential and how it can benefit Cambodia:

1. Investor Protection:
   - SERC helps safeguard the rights and interests of investors by ensuring that securities transactions are conducted fairly and transparently. This instills confidence among investors and encourages their participation in the securities market.

2. Market Integrity:
   - By regulating and supervising securities markets, SERC promotes market integrity. This involves preventing fraudulent activities, market manipulation, and other unethical practices, which, in turn, contributes to a trustworthy and reliable securities market.

3. Efficient Regulation:
   - SERC formulates and enforces regulations that govern the securities market. Efficient regulation helps maintain order in the market, prevents systemic risks, and creates an environment conducive to healthy and sustainable growth.

4. Capital Mobilization:
   - One of the primary objectives of SERC is to contribute to socio-economic development by mobilizing capital from the public and securities investors. This capital can be channeled into productive investments, fostering economic growth and development.

5. Encouraging Savings and Investment:
   - SERC aims to encourage a variety of saving tools through the buying of securities and other financial instruments. This not only provides individuals with diverse investment options but also helps channel savings into productive economic activities.

6. Foreign Investment Promotion:
   - By promoting effective regulation and creating a fair and orderly securities market, SERC attracts foreign investment. This, in turn, contributes to economic development, job creation, and the overall growth of the country's financial sector.

7. Facilitating Privatization:
   - SERC assists in facilitating the privatization of commercial enterprises owned and managed by the government. This process can enhance efficiency, introduce private-sector expertise, and stimulate economic activity.

8. Policy Development and Consultation:
   - SERC engages in policy development and consults with qualified individuals to formulate strategies for the development of the securities market. This ensures that regulatory frameworks remain adaptive to changing market dynamics and international best practices.

9. Complaint Resolution:
   - SERC acts as an institution to examine and resolve complaints against licensed legal entities. This mechanism provides a means for participants or investors to address grievances and contributes to the fair and equitable functioning of the securities market.

10. Supervision and Enforcement:
    - The Director General of CSEC, as part of SERC, holds powers to supervise, enforce, and take appropriate actions against entities or individuals in case of any breach of regulations. This proactive approach helps maintain discipline and adherence to the law within the securities market."
What duties or responsibilities does the director of SERC hold?,"The Director General of CSEC holds specific functions, including:

- Supervision of staff and officers providing administrative support to CSEC.
- Reporting and making recommendations to the Chairperson and members of CSEC on matters related to the development, regulation, and supervision of the securities market.
- Examination and approval of proposals for public offers of securities, ensuring compliance with the law.
- Monitoring continuous disclosure to the securities market and ensuring compliance with related laws.
- Powers to detect and suppress illegal, unethical, and improper practices in securities business."
What factors does the director general of SERC consider to determine if a proposal for the issuance and public offer of securities is in the interest of the public of Cambodia?,"The director general considers the quality of the issuer's governance and financial history, the needs of the securities market, the likelihood of success, the requirements for listing securities, and the requirements for issuing a disclosure document."
How many department in SERC?,"There are 6 departments within SERC: 

- Department of Administration and Finance
- Department of Securities Market Supervision
- Department of Securities Intermediaries Supervision
- Department of Securities Issuance
- Department of Legal Affairs
- Department of Research, Training, Securities Market Development, and International Relations
"
What are the duties of the Department of Administration and Finance within SERC?,"The Department of Administration and Finance is responsible for developing the budget plan for SERC, handling administrative affairs, supplying and repairing office materials, arranging protocols, communicating with public and private institutions, formulating policies, supervising and recruiting staff, developing payroll and allowances for SERC's officials, and monitoring and providing IT services."
What is the role of the Department of Administration and Finance in SERC's day-to-day operations?,"The department plays a crucial role in managing financial aspects, administrative functions, and IT services to ensure the smooth operation of SERC."
What duties does the Department of Securities Market Supervision perform?,"The Department of Securities Market Supervision formulates conditions for approval as an operator of securities market, conducts surveillance on trading system operations, examines clearing and settlement facilities, conducts on-site inspections, and refers suspicious cases of offenses to the legal affairs department for investigation."
"What is the process for granting approval as an operator of securities market, clearing and settlement facility, or security depository?","The department formulates conditions for approval, reviews applications, makes recommendations, and conducts ongoing surveillance and inspections as necessary."
What are the primary responsibilities of the Department of Securities Intermediaries Supervision?,"The department formulates conditions for granting licenses to securities companies and other market participants, reviews license applications, conducts surveillance on their operations, performs on-site inspections, and refers suspicious cases to the legal affairs department for investigation."
How does the department contribute to ensuring the integrity of securities market operations?,"By formulating licensing conditions, reviewing applications, conducting surveillance and inspections, the department plays a key role in maintaining the integrity of securities market operations."
What functions does the Department of Securities Issuance perform in relation to public issuing companies?,"The department formulates conditions for approval of public issuing companies, examines enforcement of governance conditions, reviews accounting and auditing standards, evaluates public offers of securities, registers disclosure documents, monitors and publishes relevant statements, reviews financial reports, and conducts on-site inspections when necessary."
How does the department contribute to maintaining transparency in the securities business?,"The department ensures transparency by overseeing the approval and monitoring of public issuing companies, registering disclosure documents, and publishing relevant information through electronic systems or public media."
What are the key functions of the Department of Legal Affairs within SERC?,"The department examines and recommends operating rules, arranges necessary rules and regulations, enforces securities-related laws and regulations, investigates illegal securities activities, mediates disputes, takes fine measures against violations, and files relevant lawsuits."
How does the department contribute to maintaining legal compliance within the securities sector?,"The department ensures legal compliance by examining and recommending operating rules, enforcing laws, investigating illegal activities, and taking legal measures against violations."
"What is the role of the Department of Research, Training, Securities Market Development, and International Relations?","The department conducts research on developing the securities market, evaluates legal infrastructure, formulates strategies for companies going public, assesses new financial instruments, designs training programs, and communicates with regulators regionally and internationally."
How does the department contribute to the growth and development of the securities market in Cambodia?,"The department contributes to growth by researching market development strategies, evaluating legal frameworks, promoting companies going public, assessing new financial instruments, and engaging with national and international forums."
What is Social Security Regulator (SSR)?,"The Social Security Regulator (SSR) is an institution established to supervise and regulate the operations of social security operators. Social security refers to a system of programs and measures designed to provide financial and other forms of assistance to individuals and families facing various life events, such as retirement, disability, unemployment, or other situations that may result in a loss of income or increased financial burdens."
How can we make SSR success?,"The success of a social security system relies on the trust of the participants who contribute to the system. Unlike social assistance programs financed by the state budget, social security programs involve contributions from participants, and the benefits they receive are tied to their contributions. Given the complexity and associated risks of implementing social security schemes, a regulatory and supervisory mechanism, such as the SSR, is deemed necessary to ensure the stability of the financial sector, protect the participants' benefits, and prevent adverse impacts on the national budget and the overall economy."
What are the rules of Social Security Regulator (SSR)?,"The roles of the SSR are as follows:

1. Introducing prudential regulations, standard operating procedures, necessary measures, and guidelines on the investment of social security funds.
2. Monitoring the financial status of social security operators, establishing member protection mechanisms, and facilitating conflict resolution.
3. Monitoring compliance to ensure that the provision of social security services is performed with transparency, accountability, and financial sustainability."
What are the key roles and responsibilities of the SSR as outlined in the sub-decree?,"The sub-decree no 113 ANK.BK dated 14th July, 2021, on the Organisation and Functioning of Units under the Auspices of the Non-Bank Financial Service Authority, mandates additional role of GS-NSPC as the SSR, which is an arm of the FSA in accordance with the Article 21 of the Law on the Organization and Functioning of the Non-Bank Financial Service Authority.

The SSR is mandated to perform the following key roles and responsibilities:
- Prepare and implement the strategic plan and action plan for the implementation of roles as stipulated in Article 11 of the Law on Social Security Schemes.
- Supervise and monitor compliance with the laws and regulations related to the social security system.
- Supervise, monitor, and evaluate the performance of the social security operator and related entities.
- Prepare, update, and seek approval of relevant regulations for the supervision of the social security operator and related actors.
- Promote education and training on knowledge of Social Security to the public.
- Participate in regional and international cooperation.
- Manage the finance and staff of the SSR.
- Coordinate human resource management with the General Secretariat of the FSA.
- Manage state properties distributed under the SSR and prepare the inventory list for the General Secretariat of the FSA.
- Perform other duties as directed by the Minister of Economy and Finance and Chair of the FSA."
What is the basis for the SSR's authority to supervise and monitor compliance with laws and regulations related to the social security system?,The basis for the SSR's authority to supervise and monitor compliance with laws and regulations related to the social security system is derived from the sub-decree no 113 ANK.BK and is in accordance with the Article 21 of the Law on the Organization and Functioning of the Non-Bank Financial Service Authority.
How does the SSR contribute to regional and international cooperation?,"The SSR contributes to regional and international cooperation by actively participating in collaborative efforts with other entities or organizations involved in social security matters. This engagement may involve sharing knowledge, best practices, and coordinating efforts to enhance the effectiveness of social security systems on a broader scale."
What is the significance of the SSR's role in managing state properties?,"The SSR's role in managing state properties is significant as it involves overseeing and administrating the properties distributed under the SSR. This includes maintaining an inventory list and ensuring proper management of these assets, which contributes to the overall accountability and transparency of the social security system."
"What are the specified responsibilities of the Director General of SSR and Functions of Units under the the Non-Bank Financial Services Authority, Article 22?","The Sub-decree concerning the Roles and Functions of Units under the Auspices of the Non-Bank Financial Services Authority, as outlined in Article 22, specifies the responsibilities entrusted to the Director General of SSR as follows:

1. Leading the implementation of the roles and functions of the SSR as mandated in Article 21 of the Sub-decree.
2. Overseeing the routine/daily operations of the SSR.
3. Taking appropriate measures against any misconduct in the implementation of existing laws and regulations.
4. Representing the SSR in court and executing agreements and memorandums, subject to approval from the Minister of Ministry of Economy and Finance, and Chairman of the Council of Non-Bank Financial Services Authority.
5. Representing SSR in dealings with national and international institutions and the private sector.
6. Performing other duties as directed by the Minister of Economy and Finance and the Chair of the Non-Bank Financial Services Authority."
What is Trust Regulator?,"The Trust Regulator is an organization that regulate, supervise, and develop the trust sector in the Kingdom of Cambodia. "
What does trust mean in this context?,"In law, a trust is a relationship in which the holder of property (or any other transferable right) gives it to another person or entity who must keep and use it solely for the benefit of another person or group of persons."
What are the three key roles involved in a trust arrangement?,"It consists of a settlor who entrusts the property, a trustee who manages the property, and a beneficiary who benefits from the property."
Trustee's Duties and Responsibilities,"The trustee, as the legal owner, has fiduciary duties to manage the trust for the benefit of the equitable owners, including providing regular accounting of income and expenditures. And Courts can remove a trustee who breaches their fiduciary duty, and some breaches can lead to criminal charges."
Types of Trusts,"Trusts may be revocable or irrevocable, with the latter only being revocable through judicial proceeding or by consent of the settlor and beneficiaries."
Purposes of Trusts,"Trusts are commonly used to partition and protect assets from creditors, making them 'bankruptcy remote' and also for the protection of individual spendthrifts. They are also utilized in pensions, mutual funds, and asset securitization."
Duties of Trustees,"Trustees administer the trust's affairs, including investing assets, accounting to beneficiaries, and making discretionary decisions. They may be held personally liable for problems and can be compensated for their services."
"What role does the settlor play in a trust, particularly regarding the determination of a beneficiary's interest and the distribution of income or property to beneficiaries?",Beneficiaries are the beneficial owners of the trust property and will receive income or the property itself. The settlor has discretion in determining the extent of a beneficiary's interest.
What is the vision of Trust Regulator?,"Vision of Trust Regulator are to Regulate, supervise, and develop the trust sector in the Kingdom of Cambodia. This contributes to national and socioeconomic development by:
- Increasing domestic investment as a source of national tax revenue.
- Promoting financial diversification for the benefit of the Cambodian people.
- Providing the ability to supervise and regulate the flow of capital in all sectors operating in Cambodia.
- Attracting more confidence from development partners.
- Meeting the financial needs for investment in Cambodia."
Wjat is the Mission of the TR?,"Mission of Trust Regulator are to Continuously strengthen and develop institutions and institutional functions within the trust sector. This involves:
- Enhancing general affairs management.
- Building capacity for officials.
- Supervising trust registration.
- Preparing legal infrastructure and conducting law enforcement research and training cooperation."
What is the structure for the Trust Regulator Organization?,"An organizational structure for the TR (Trust Regulator) have as below:

- Department of General Affairs:
  - Division of Administration and Personnel
  - Division of Accounting and Finance
  - Division of Management of Information Technology

- Department of Trust Registration:
  - Division of Financial Trust Supervision
  - Division of Public and Commercial Trust Supervision
  - Division of Social and Individual Trust Supervision 

- Department of Legal Affairs and Inspection:
  - Division of Dispute Resolution 
  - Division of Inspection and Enforcement 
  - Division of Legal 

- Department of Research, Training, and Cooperation:
  - Division of Research and Market Development 
  - Division of Training and Publication 
  - Division of Cooperation ."
How many departments in TR Organization?,"There are 4 departments in total which are the Department of general affiars, the Department of Trust Registration, the Department of Legal Affairs and Inspection and the Department of Research, Traning, and Cooperation."
How many sub-department in each department?,"  - Division of Financial Trust Supervision
  - Division of Public and Commercial Trust Supervision
  - Division of Social and Individual Trust Supervision 

- Department of Legal Affairs and Inspection:
  - Division of Dispute Resolution 
  - Division of Inspection and Enforcement 
  - Division of Legal 

- Department of Research, Training, and Cooperation:
  - Division of Research and Market Development 
  - Division of Training and Publication 
  - Division of Cooperation .B128"
How many trusts in Cambodia?,There are 512 trusts in Cambodia.
How many types of trust in Cambodia?,"There are 5 types of trusts in cambodia which are Public Trust, Financial Trust, Commercial Trust, Social Trust and Individual Trust."
Describe each Trust of the company,"Trust can be understood in various contexts, and different types of trust exist in different domains.

1. Public Trust:
   Public trust refers to the confidence and reliance that the general public places in institutions, organizations, or individuals, especially those in positions of authority. It is a measure of the credibility and integrity of entities that serve the public interest, such as government agencies, public officials, and public services.

2. Financial Trust:
   Financial trust involves the confidence and belief that individuals or entities have in financial systems, institutions, and transactions. This can include trust in banks, investment firms, financial markets, and the overall stability of the economic system. Financial trust is crucial for the proper functioning of economies and financial systems.

3. Commercial Trust:
   Commercial trust relates to the confidence that businesses and consumers have in each other during commercial transactions. It encompasses the belief that businesses will deliver quality products or services, and that consumers will fulfill their financial obligations. Trust in commercial interactions is vital for the success and sustainability of business relationships.

4. Social Trust:
   Social trust pertains to the level of trust and confidence that individuals have in each other within a society or community. It involves the expectation that people will generally act in a trustworthy manner, and it is a fundamental element of social cohesion. Social trust contributes to a sense of community and cooperation.

5. Individual Trust:
   Individual trust focuses on the confidence and reliance that one person places in another individual. It is based on personal experiences, interactions, and observations of someone's behavior. Individual trust is essential for building and maintaining relationships, both on a personal and professional level.

These different types of trust are interconnected and play crucial roles in various aspects of our lives, shaping the way we interact with institutions, businesses, communities, and individuals. Trust is a foundational element for the smooth functioning of societies and economies."
How many Public Trust in total? What are they?,There is 1 public trust company which is Cambodia Katha Bopha Foundation Trust (មូលនិធិគន្ធបុប្ផាកម្ពុជា)
How many Financial Trust in total? What are they?,"There are 9 Financial trust companies which are 

១-បរធនបាលកិច្ចហិរញ្ញវត្ថុ អមតៈ  AMATAK FINANCIAL TRUST
២-បរធនបាលកិច្ចហិរញ្ញវត្ថុ ប្រាសាក់ PRASAC FINANCIAL TRUST
៣-បរធនបាលកិច្ចហិរញ្ញវត្ថុ ស្ថាបនាសហគមន៍កម្ពុជា CAMBODIA COMMUNITY BUILDING FINANCIAL TRUST
៤-បរធនបាលកិច្ចហិរញ្ញវត្ថុ អេស៊ីលីដា ហ្វាយណាន់ហ្សល់ ត្រាស់        ACLEDA FINANCIAL TRUST
៥-បរធនបាលកិច្ចហិរញ្ញវត្ថុ ពាយ័ព្យ ហ្វាយនែនហ្សល ត្រាស់        PEAYORP FINANCIAL TRUST
៦-បរធនបាលកិច្ចហិរញ្ញវត្ថុ ហត្ថាកសិករ HATTHA KAKSEKAR FINANCIAL TRUST
៧-បរធនបាលកិច្ចហិរញ្ញវត្ថុ ក្រេឌីត KREDIT FINANCIAL TRUST
៨-បរធនបាលកិច្ចហិរញ្ញវត្ថុ សីលានិធិ SEILANITHIH FINANCIAL TRUST
៩-បរធនបាលកិច្ចហិរញ្ញវត្ថុ អង្គការគណៈកម្មាធិការសុខភាពកម្ពុជា        CAMBODIAN HEALTH COMMITTEE FINANCIAL TRUST"
How many Commercial Trust in total? What are they?,"There are 607 Commercial trust companies as of August, 2023."
How many Social Trust in total? What are they?,There is 1 Social trust company which is ACLEDA-JARDINES EDUCATIONAL FOUNDATION Organization (អង្គការមូលនិធិអេស៊ីលីដា-ចារឌីនសម្រាប់ការអប់រំ)
How many Individual Trust in total? What are they?,"There are 7 individual trust companies as of August, 2023."
What is Trust Regulator called in Khmer?,និយ័តករបរធនបាលកិច្ច
What is the Accounting and Audit Regulator?,"The Accounting and Auditing Regulator (ACAR), functioning as the Secretariat of the Non-Banking Financial Services Authority, is committed to governing and advancing the accounting and auditing sector and profession in Cambodia. Our mission involves introducing regulations, rules, and standards, as well as promoting the adherence to Cambodian laws and accounting and auditing standards."
How do we call Accounting and Audit Regulator in Khmer?,និយ័តករគណនេយ្យនិងសវនកម្ម
